architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
two_layer,tanh,0.0001,0.1,64,0.001,64,32,0.8350751399993896,0.5337340235710144,,
three_layer,tanh,0.0001,0.1,32,0.0001,64,32,0.8353567719459534,0.5334194898605347,16.0,
four_layer,tanh,0.0001,0.1,32,0.0001,64,32,0.8358926177024841,0.5328207015991211,16.0,16.0
four_layer,relu,0.0005,0.3,32,1e-05,64,32,0.8363769054412842,0.5322791934013367,32.0,16.0
three_layer,tanh,0.0001,0.1,32,1e-05,64,64,0.8369117379188538,0.5316808223724365,16.0,
four_layer,relu,0.0001,0.1,64,0.001,128,32,0.8376707434654236,0.530830979347229,32.0,16.0
four_layer,relu,0.0001,0.1,64,0.0001,128,32,0.8378490805625916,0.5306311845779419,32.0,16.0
three_layer,relu,0.0001,0.3,64,0.001,128,32,0.8393118381500244,0.5289908051490784,16.0,
two_layer,relu,0.0001,0.1,64,1e-05,64,32,0.8398414850234985,0.5283961892127991,,
four_layer,relu,0.0001,0.1,64,1e-05,128,64,0.8409589529037476,0.5271403789520264,16.0,16.0
three_layer,tanh,0.0001,0.3,32,0.001,64,32,0.8416330218315125,0.5263820290565491,16.0,
four_layer,tanh,0.0001,0.3,64,0.0001,128,32,0.8423504829406738,0.5255742073059082,32.0,16.0
three_layer,tanh,0.0005,0.1,64,0.001,64,32,0.8424553871154785,0.5254560708999634,16.0,
four_layer,tanh,0.0001,0.1,64,1e-05,64,64,0.8431211709976196,0.524705708026886,16.0,16.0
three_layer,tanh,0.0001,0.3,64,0.0001,128,32,0.8447322845458984,0.5228874683380127,16.0,
three_layer,relu,0.0001,0.3,32,0.001,64,32,0.8450180888175964,0.5225645303726196,32.0,
four_layer,relu,0.0001,0.1,32,0.001,64,64,0.8451062440872192,0.5224648714065552,16.0,16.0
four_layer,tanh,0.0001,0.3,32,1e-05,64,32,0.845339298248291,0.5222015380859375,16.0,16.0
three_layer,relu,0.0001,0.3,64,0.001,64,64,0.8453692197799683,0.5221676826477051,16.0,
three_layer,relu,0.001,0.3,64,1e-05,64,32,0.8454351425170898,0.5220931768417358,16.0,
four_layer,relu,0.0005,0.3,64,0.0001,64,64,0.8456680774688721,0.5218297839164734,32.0,16.0
three_layer,relu,0.0001,0.3,64,0.0001,64,64,0.8465239405632019,0.5208613872528076,32.0,
four_layer,relu,0.0001,0.1,64,0.001,64,32,0.8466907143592834,0.5206725597381592,16.0,16.0
four_layer,relu,0.0001,0.3,32,1e-05,128,32,0.8475572466850281,0.519690990447998,32.0,16.0
four_layer,tanh,0.0001,0.3,32,0.0001,128,64,0.8479891419410706,0.519201397895813,32.0,16.0
three_layer,relu,0.0001,0.3,64,0.0001,64,64,0.8487313985824585,0.5183593034744263,16.0,
four_layer,relu,0.0001,0.3,32,1e-05,128,64,0.8488673567771912,0.5182050466537476,32.0,16.0
three_layer,relu,0.0001,0.3,32,1e-05,64,64,0.8493074774742126,0.5177052617073059,16.0,
three_layer,tanh,0.0001,0.1,64,1e-05,64,32,0.8494278788566589,0.5175684690475464,16.0,
four_layer,relu,0.001,0.3,64,0.001,128,32,0.8494362235069275,0.5175589919090271,16.0,16.0
four_layer,tanh,0.0001,0.1,64,0.001,128,64,0.8503066897392273,0.5165697336196899,32.0,16.0
four_layer,relu,0.0005,0.3,64,0.0001,64,32,0.8504458665847778,0.5164114832878113,16.0,16.0
three_layer,tanh,0.0001,0.1,64,1e-05,64,32,0.8507397174835205,0.5160772800445557,32.0,
three_layer,relu,0.0001,0.3,32,1e-05,64,32,0.8509799838066101,0.515803873538971,16.0,
four_layer,relu,0.0005,0.3,64,1e-05,128,32,0.8520295023918152,0.5146088600158691,16.0,16.0
four_layer,relu,0.0001,0.1,64,0.0001,128,64,0.8530187010765076,0.513481080532074,16.0,16.0
four_layer,tanh,0.0001,0.3,32,1e-05,128,64,0.8530313968658447,0.5134665966033936,16.0,16.0
four_layer,relu,0.0005,0.3,32,0.001,128,64,0.8531840443611145,0.5132924318313599,32.0,16.0
four_layer,tanh,0.0001,0.3,32,0.001,128,32,0.8544440269470215,0.511853814125061,16.0,16.0
four_layer,relu,0.0001,0.1,64,0.0001,64,64,0.8549740314483643,0.5112481117248535,32.0,16.0
four_layer,tanh,0.0001,0.3,32,1e-05,64,32,0.8552031517028809,0.5109860897064209,32.0,16.0
four_layer,tanh,0.0001,0.3,64,1e-05,64,32,0.8555424809455872,0.5105979442596436,32.0,16.0
four_layer,relu,0.0001,0.1,64,1e-05,64,32,0.8564956784248352,0.5095068216323853,16.0,16.0
four_layer,relu,0.0005,0.3,32,0.001,64,64,0.8570297360420227,0.5088949203491211,32.0,16.0
three_layer,relu,0.0001,0.3,64,0.0001,64,32,0.8578141927719116,0.5079954862594604,32.0,
four_layer,relu,0.001,0.3,32,1e-05,64,32,0.8590561747550964,0.5065697431564331,32.0,16.0
four_layer,relu,0.0001,0.1,32,0.0001,64,32,0.8596010208129883,0.5059436559677124,16.0,16.0
four_layer,relu,0.0005,0.3,32,1e-05,128,64,0.8600579500198364,0.5054183006286621,16.0,16.0
